일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2009/07/10","184.56","-0.16","-0.09","185.27","185.43","182.84","121806.0","3654547.0","6.4262035E8"
"2009/07/09","184.72","-0.01","-0.01","184.26","186.51","183.94","147954.0","4720080.0","6.43629513E8"
"2009/07/08","184.73","-0.38","-0.21","183.86","184.73","182.28","152507.0","4179328.0","6.43918886E8"
"2009/07/07","185.11","0.61","0.33","185.18","186.02","184.20","163708.0","4110109.0","6.45156637E8"
"2009/07/06","184.50","1.58","0.86","182.78","185.04","182.36","140128.0","3748011.0","6.42849362E8"
"2009/07/03","182.92","1.07","0.59","179.11","182.92","179.02","139037.0","3355239.0","6.37968002E8"
"2009/07/02","181.85","-0.10","-0.05","182.92","182.96","180.80","163024.0","3813533.0","6.3419248E8"
"2009/07/01","181.95","2.96","1.65","178.53","182.50","177.75","162551.0","4167307.0","6.34480439E8"
"2009/06/30","178.99","0.18","0.10","180.65","181.65","178.69","184365.0","3872781.0","6.24522098E8"
"2009/06/29","178.81","-0.47","-0.26","179.92","181.42","178.40","151341.0","3212268.0","6.23581584E8"
"2009/06/26","179.28","0.42","0.23","180.04","180.41","178.45","145231.0","3984605.0","6.25761926E8"
"2009/06/25","178.86","3.78","2.16","175.50","180.46","175.50","188813.0","4302987.0","6.24837502E8"
"2009/06/24","175.08","0.76","0.44","174.96","176.00","173.22","166005.0","3645179.0","6.11718937E8"
"2009/06/23","174.32","-4.70","-2.63","175.17","175.81","173.52","216749.0","4077385.0","6.09420973E8"
"2009/06/22","179.02","2.39","1.35","176.46","179.11","176.12","124457.0","3429218.0","6.27313063E8"
"2009/06/19","176.63","1.09","0.62","176.96","177.38","174.94","149326.0","3394472.0","6.1943963E8"
"2009/06/18","175.54","-2.26","-1.27","177.56","178.34","174.90","134104.0","3538589.0","6.15957748E8"
"2009/06/17","177.80","-1.08","-0.60","177.90","178.65","176.85","143869.0","3625019.0","6.23502299E8"
"2009/06/16","178.88","-1.78","-0.99","178.27","180.32","177.58","151070.0","3585369.0","6.27260437E8"
"2009/06/15","180.66","-2.03","-1.11","182.59","182.64","178.97","136812.0","3865872.0","6.33815178E8"
"2009/06/12","182.69","1.26","0.69","182.74","183.72","181.23","144430.0","4163888.0","6.41359788E8"
"2009/06/11","181.43","0.52","0.29","180.49","183.84","179.90","193481.0","5809853.0","6.27031509E8"
"2009/06/10","180.91","6.00","3.43","176.01","180.96","175.52","184735.0","4729206.0","6.24941442E8"
"2009/06/09","174.91","-2.76","-1.55","179.49","180.00","174.87","173017.0","4665716.0","6.04551299E8"
"2009/06/08","177.67","-0.10","-0.06","177.65","180.00","176.87","176062.0","4226010.0","6.14281494E8"
"2009/06/05","177.77","2.02","1.15","177.43","177.77","175.12","175532.0","4706980.0","6.14723104E8"
"2009/06/04","175.75","-4.56","-2.53","179.55","179.75","175.35","230558.0","5425332.0","6.07236207E8"
"2009/06/03","180.31","-0.16","-0.09","181.78","182.25","178.93","276109.0","5647738.0","6.23493742E8"
"2009/06/02","180.47","-0.43","-0.24","183.64","183.71","180.30","224413.0","6205222.0","6.23506344E8"
"2009/06/01","180.90","2.20","1.23","178.42","180.90","176.92","189986.0","5002028.0","6.24475114E8"
